ciclo,modo,pc,ifbit,irr,imr,isr,en_servicio,in_isr,stage,cur_dev,vec,driver_busy,disco_serv,disco_rem,teclado_serv,teclado_rem,disco_cola,teclado_cola,irq,contextos_guardados,es,nest,eoi,pend
337,usuario,0x5A4,1,00,00,00,-,0,0,-,0x0,4,34,5,33,1,0,1,32,32,32,8,32,0
338,usuario,0x5A8,1,00,00,00,-,0,0,-,0x0,3,34,4,33,1,0,1,32,32,32,8,32,0
339,usuario,0x5AC,1,01,00,00,-,0,0,-,0x0,2,34,4,0,0,0,1,32,32,32,8,32,1
340,kernel,0x5B0,0,00,00,01,Teclado,1,1,Teclado,0x22,4,34,3,35,4,1,0,33,33,32,8,32,1
341,kernel,0x5B0,0,00,00,01,Teclado,1,2,Teclado,0x22,3,34,3,35,3,1,0,33,33,32,8,32,1
342,kernel,0x5B0,0,00,00,01,Teclado,1,3,Teclado,0x22,2,34,2,35,3,1,0,33,33,32,8,32,1
343,kernel,0x2200,1,00,00,01,Teclado,1,4,Teclado,0x22,1,34,2,35,2,1,0,33,33,32,8,32,1
344,kernel,0x2200,1,00,00,01,Teclado,1,5,Teclado,0x22,0,34,1,35,2,1,0,33,33,32,8,32,1
345,kernel,0x2200,1,00,00,00,-,1,6,Teclado,0x22,0,34,1,35,1,1,0,33,33,33,8,33,0
346,usuario,0x5B0,1,10,00,00,-,1,7,Teclado,0x22,0,0,0,35,1,1,0,33,33,33,8,33,1
347,usuario,0x5B0,1,11,00,00,-,0,0,-,0x0,0,36,6,0,0,0,0,33,33,33,8,33,2
348,kernel,0x5B4,0,01,00,10,Disco,1,1,Disco,0x21,0,36,5,0,0,0,0,34,34,33,8,33,2
349,kernel,0x5B4,0,01,00,10,Disco,1,2,Disco,0x21,0,36,5,0,0,0,0,34,34,33,8,33,2
350,kernel,0x5B4,0,01,00,10,Disco,1,3,Disco,0x21,0,36,4,0,0,0,0,34,34,33,8,33,2
351,kernel,0x2100,1,01,00,10,Disco,1,4,Disco,0x21,0,36,4,0,0,0,0,34,34,33,8,33,2
352,kernel,0x2100,1,01,00,10,Disco,1,5,Disco,0x21,0,36,3,0,0,0,0,34,34,33,8,33,2
353,kernel,0x2100,1,01,00,00,-,1,6,Disco,0x21,0,36,3,0,0,0,0,34,34,34,8,34,1
354,usuario,0x5B4,1,01,00,00,-,1,7,Disco,0x21,0,36,2,0,0,0,0,34,34,34,8,34,1
